,id,Formation,Title,number of views,note,URL,Update/Offer Date,Learning Points,Search Query
337,166,DataCamp,Developing LLM Applications with LangChain,"from 1,089 reviews",4.7,https://www.datacamp.com/courses/developing-llm-applications-with-langchain,Updated 03/2025,"['Discover how to build AI-powered applications using LLMs, prompts, chains, and agents in LangChain.']",cloud
338,167,DataCamp,Unsupervised Learning in Python,from 399 reviews,4.8,https://www.datacamp.com/courses/unsupervised-learning-in-python,Updated 07/2025,"['Learn how to cluster, transform, visualize, and extract insights from unlabeled datasets using scikit-learn and scipy.']",cloud
339,168,DataCamp,Introduction to Natural Language Processing in R,from 12 reviews,4.8,https://www.datacamp.com/courses/introduction-to-natural-language-processing-in-r,Updated 05/2024,['Gain an overview of all the skills and tools needed to excel in Natural Language Processing in R.'],cloud
340,169,DataCamp,Data Manipulation in Alteryx,from 251 reviews,4.7,https://www.datacamp.com/courses/data-manipulation-in-alteryx,Updated 10/2024,"['Orchestrate data using unions, joins, parsing, and performance optimization in Alteryx.']",cloud
341,170,DataCamp,Building Dashboards with flexdashboard,from 19 reviews,4.7,https://www.datacamp.com/courses/building-dashboards-with-flexdashboard,Updated 11/2022,"[""In this course you'll learn how to create static and interactive dashboards using flexdashboard and shiny.""]",cloud
342,171,DataCamp,Data Visualization in Google Sheets,from 253 reviews,4.8,https://www.datacamp.com/courses/data-visualization-in-google-sheets,Updated 09/2024,['Learn the fundamentals of data visualization using Google Sheets.'],cloud
343,172,DataCamp,Introduction to Snowflake,from 998 reviews,4.7,https://www.datacamp.com/courses/introduction-to-snowflake,Updated 06/2025,"['Snowflake is a top data warehousing platform. Learn how they use Snowsight, a user-friendly SQL interface for accessing and exploring data.']",cloud
344,1,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/creating-dashboards-in-tableau,avril 2025,...,Audit SI
345,2,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/intermediate-dax-in-power-bi,avril 2025,...,Audit SI
346,3,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-snowflake-sql,avril 2025,...,Audit SI
347,4,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/statistical-techniques-in-tableau,avril 2025,...,Audit SI
348,5,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-functions-in-python,avril 2025,...,Audit SI
349,6,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/foundations-of-git,avril 2025,...,Audit SI
350,7,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-statistics,avril 2025,...,Audit SI
351,8,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-transformation-in-power-bi,avril 2025,...,Audit SI
352,9,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-analysis-in-excel,avril 2025,...,Audit SI
353,10,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-spark-sql-in-python,avril 2025,...,Audit SI
354,11,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/recommendation-engines-in-pyspark,avril 2025,...,Audit SI
355,12,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-communication-concepts,avril 2025,...,Audit SI
356,13,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-driven-decision-making-in-sql,avril 2025,...,Audit SI
357,14,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/ab-testing-in-python,avril 2025,...,Audit SI
358,15,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/intermediate-data-modeling-in-power-bi,avril 2025,...,Audit SI
359,16,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-testing-in-python,avril 2025,...,Audit SI
360,17,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-dax-in-power-bi,avril 2025,...,Audit SI
361,18,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/interactive-data-visualization-with-plotly-in-r,avril 2025,...,Audit SI
362,19,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/financial-modeling-in-google-sheets,avril 2025,...,Audit SI
363,20,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/working-with-the-openai-api,avril 2025,...,Audit SI
364,21,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-bash-scripting,avril 2025,...,Audit SI
365,22,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/machine-learning-with-caret-in-r,avril 2025,...,Audit SI
366,23,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-data-literacy,avril 2025,...,Audit SI
367,24,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/developing-ai-systems-with-the-openai-api,avril 2025,...,Audit SI
368,25,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-portfolio-risk-management-in-python,avril 2025,...,Audit SI
369,26,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-manipulation-with-pandas,avril 2025,...,Audit SI
370,27,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-git,avril 2025,...,Audit SI
371,28,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-excel,avril 2025,...,Audit SI
372,29,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-warehousing-concepts,avril 2025,...,Audit SI
373,30,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/financial-trading-in-python,avril 2025,...,Audit SI
374,31,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/reporting-in-sql,avril 2025,...,Audit SI
375,32,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-java,avril 2025,...,Audit SI
376,33,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/quantitative-risk-management-in-python,avril 2025,...,Audit SI
377,34,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/intermediate-git,avril 2025,...,Audit SI
378,35,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/reinforcement-learning-with-gymnasium-in-python,avril 2025,...,Audit SI
379,36,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/understanding-machine-learning,avril 2025,...,Audit SI
380,37,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-statistics-in-python,avril 2025,...,Audit SI
381,38,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/deep-learning-for-images-with-pytorch,avril 2025,...,Audit SI
382,39,DataCamp,Reporting with R Markdown,from 134 reviews,4.7,https://www.datacamp.com/courses/reporting-with-rmarkdown,Updated 03/2022,['R Markdown is an easy-to-use formatting language for authoring dynamic reports from R code.'],Audit SI
383,40,DataCamp,Reports in Power BI,"from 1,025 reviews",4.7,https://www.datacamp.com/courses/reports-in-power-bi,Updated 10/2023,['Take your Power BI visualizations up a level with the skills you already have. Learn alternative data storytelling techniques to simply building dashboards.'],Audit SI
384,41,DataCamp,Credit Risk Modeling in Python,from 119 reviews,4.7,https://www.datacamp.com/courses/credit-risk-modeling-in-python,Updated 08/2024,"['Learn how to prepare credit application data, apply machine learning and business rules to reduce risk and ensure profitability.']",Audit SI
385,42,DataCamp,Introduction to R for Finance,from 26 reviews,4.7,https://www.datacamp.com/courses/introduction-to-r-for-finance,Updated 05/2024,['Learn essential data structures such as lists and data frames and apply that knowledge directly to financial examples.'],Audit SI
386,43,DataCamp,Introduction to Python,"from 3,333 reviews",4.8,https://www.datacamp.com/courses/intro-to-python-for-data-science,Updated 07/2025,['Master the basics of data analysis with Python in just four hours. This online course will introduce the Python interface and explore popular packages.'],Audit SI
387,44,DataCamp,Understanding Artificial Intelligence,"from 6,307 reviews",4.7,https://www.datacamp.com/courses/understanding-artificial-intelligence,Updated 07/2025,"['Learn the basic concepts of Artificial Intelligence, such as machine learning, deep learning, NLP, generative AI, and more.']",Audit SI
388,45,DataCamp,Introduction to Regression in R,from 586 reviews,4.8,https://www.datacamp.com/courses/introduction-to-regression-in-r,Updated 08/2024,"['Predict housing prices and ad click-through rate by implementing, analyzing, and interpreting regression analysis in R.']",Audit SI
389,46,DataCamp,Understanding Microsoft Azure,from 890 reviews,4.7,https://www.datacamp.com/courses/understanding-microsoft-azure,Updated 12/2024,['Learn about the power of Microsoft Azure and cloud computing software to help you improve your data engineering skills.'],Audit SI
390,47,DataCamp,Fundamentals of Bayesian Data Analysis in R,from 69 reviews,4.8,https://www.datacamp.com/courses/fundamentals-of-bayesian-data-analysis-in-r,Updated 08/2024,"['Learn what Bayesian data analysis is, how it works, and why it is a useful tool to have in your data science toolbox.']",Audit SI
391,48,DataCamp,Introduction to AWS Boto in Python,from 67 reviews,4.8,https://www.datacamp.com/courses/introduction-to-aws-boto-in-python,Updated 05/2024,['Learn about AWS Boto and harnessing cloud technology to optimize your data workflow.'],Audit SI
392,49,DataCamp,Introduction to Data Engineering,from 303 reviews,4.8,https://www.datacamp.com/courses/introduction-to-data-engineering,Updated 09/2022,"['Learn about the world of data engineering in this short course, covering tools and topics like ETL and cloud computing.']",Audit SI
393,50,DataCamp,Analyzing Survey Data in Python,from 19 reviews,4.7,https://www.datacamp.com/courses/analyzing-survey-data-in-python,Updated 11/2023,['Learn how to analyze survey data with Python and discover when it is appropriate to apply statistical tools that are descriptive and inferential in nature.'],Audit SI
394,51,DataCamp,Introduction to SQL,"from 17,955 reviews",4.8,https://www.datacamp.com/courses/introduction-to-sql,Updated 07/2025,['Learn how to create and query relational databases using SQL in just two hours.'],Audit SI
395,52,DataCamp,Case Study: Analyzing Customer Churn in Power BI,"from 2,641 reviews",4.8,https://www.datacamp.com/courses/case-study-analyzing-customer-churn-in-power-bi,Updated 05/2025,"['You will investigate a dataset from a fictitious company called Databel in Power BI, and need to figure out why customers are churning.']",Audit SI
396,53,DataCamp,Intermediate Python,"from 1,959 reviews",4.7,https://www.datacamp.com/courses/intermediate-python,Updated 07/2025,['Level up your data science skills by creating visualizations using Matplotlib and manipulating DataFrames with pandas.'],Audit SI
397,54,DataCamp,Data Preparation in Excel,"from 2,443 reviews",4.7,https://www.datacamp.com/courses/data-preparation-in-excel,Updated 02/2025,"['Understand how to prepare Excel data through logical functions, nested formulas, lookup functions, and PivotTables.']",Audit SI
398,55,DataCamp,Data Visualization in Power BI,"from 3,927 reviews",4.8,https://www.datacamp.com/courses/data-visualization-in-power-bi,Updated 07/2025,['Power BI is a powerful data visualization tool that can be used in reports and dashboards.'],Audit SI
399,56,DataCamp,Intermediate Docker,from 231 reviews,4.7,https://www.datacamp.com/courses/intermediate-docker,Updated 07/2025,"['Master multi-stage builds, Docker networking tools, and Docker Compose for optimal containerized applications!']",Audit SI
400,57,DataCamp,Understanding ChatGPT,"from 6,114 reviews",4.8,https://www.datacamp.com/courses/understanding-chatgpt,Updated 03/2025,['Learn how to use ChatGPT. Discover best practices for writing prompts and explore common business use cases for the powerful AI tool.'],Audit SI
401,58,DataCamp,Intermediate Google Sheets,from 335 reviews,4.8,https://www.datacamp.com/courses/intermediate-google-sheets,Updated 09/2024,"['Expand your Google Sheets vocabulary by diving deeper into data types, including numeric data, logical data, and missing data.']",Audit SI
402,59,DataCamp,Understanding Microsoft Azure Management and Governance,from 494 reviews,4.8,https://www.datacamp.com/courses/understanding-microsoft-azure-management-and-governance,Updated 05/2025,"['Master Azure Management and Governance with our comprehensive course, ideal for data professionals seeking cloud expertise.']",Audit SI
403,60,DataCamp,Introduction to LLMs in Python,from 603 reviews,4.7,https://www.datacamp.com/courses/introduction-to-llms-in-python,Updated 02/2025,['Learn the nuts and bolts of LLMs and the revolutionary transformer architecture they are based on!'],Audit SI
404,61,DataCamp,Report Design in Power BI,"from 1,036 reviews",4.7,https://www.datacamp.com/courses/report-design-in-power-bi,Updated 12/2023,"[""Continue your data visualization journey where you'll learn practical techniques for incorporating DAX measures and progressive disclosure in your reports.""]",Audit SI
405,62,DataCamp,Data Visualization in Tableau,from 362 reviews,4.8,https://www.datacamp.com/courses/data-visualization-in-tableau,Updated 08/2024,['Data visualization is one of the most desired skills for data analysts. This course allows you to present your findings better using Tableau.'],Audit SI
406,63,DataCamp,Understanding Data Science,"from 2,939 reviews",4.8,https://www.datacamp.com/courses/understanding-data-science,Updated 07/2025,['An introduction to data science with no coding involved.'],Audit SI
407,64,DataCamp,Introduction to Object-Oriented Programming in Java,from 321 reviews,4.7,https://www.datacamp.com/courses/introduction-to-object-oriented-programming-in-java,Updated 05/2025,"['Learn key object-oriented programming concepts, from basic classes and objects to advanced topics like inheritance and polymorphism.']",Audit SI
408,65,DataCamp,CI/CD for Machine Learning,from 118 reviews,4.8,https://www.datacamp.com/courses/cicd-for-machine-learning,Updated 06/2025,['Elevate your Machine Learning Development with CI/CD using GitHub Actions and Data Version Control'],Audit SI
409,66,DataCamp,Data-Driven Decision Making for Business,from 303 reviews,4.7,https://www.datacamp.com/courses/data-driven-decision-making-for-business,Updated 11/2024,['Discover how to make better business decisions by applying practical data frameworks—no coding required.'],Audit SI
410,67,DataCamp,Data Transformation in Alteryx,from 312 reviews,4.8,https://www.datacamp.com/courses/data-transformation-in-alteryx,Updated 10/2024,"['Unlock Alteryx for data transformation, mastering Crosstab, Transpose, and workflow optimization in this interactive course.']",Audit SI
411,68,DataCamp,Importing and Managing Financial Data in Python,from 25 reviews,4.8,https://www.datacamp.com/courses/importing-and-managing-financial-data-in-python,Updated 02/2023,"[""In this course, you'll learn how to import and manage financial data in Python using various tools and sources.""]",Audit SI
412,69,DataCamp,Ensemble Methods in Python,from 135 reviews,4.8,https://www.datacamp.com/courses/ensemble-methods-in-python,Updated 07/2024,"['Learn how to build advanced and effective machine learning models in Python using ensemble techniques such as bagging, boosting, and stacking.']",Audit SI
413,70,DataCamp,Introduction to Statistics in Google Sheets,from 215 reviews,4.8,https://www.datacamp.com/courses/introduction-to-statistics-in-google-sheets,Updated 12/2023,['Learn how to leverage statistical techniques using spreadsheets to more effectively work with and extract insights from your data.'],Audit SI
414,71,DataCamp,Cleaning Data with PySpark,from 182 reviews,4.7,https://www.datacamp.com/courses/cleaning-data-with-pyspark,Updated 03/2025,['Learn how to clean data with Apache Spark in Python.'],Audit SI
415,72,DataCamp,Introduction to Python for Developers,"from 3,906 reviews",4.8,https://www.datacamp.com/courses/introduction-to-python-for-developers,Updated 07/2025,['Master the fundamentals of programming in Python. No prior knowledge required!'],Audit SI
416,73,DataCamp,Machine Learning with Tree-Based Models in Python,from 247 reviews,4.8,https://www.datacamp.com/courses/machine-learning-with-tree-based-models-in-python,Updated 08/2024,"[""In this course, you'll learn how to use tree-based models and ensembles for regression and classification using scikit-learn.""]",Audit SI
417,74,DataCamp,Introduction to Apache Airflow in Python,from 767 reviews,4.8,https://www.datacamp.com/courses/introduction-to-apache-airflow-in-python,Updated 06/2025,['Learn how to implement and schedule data engineering workflows.'],Audit SI
418,75,DataCamp,Understanding Data Engineering,"from 4,037 reviews",4.8,https://www.datacamp.com/courses/understanding-data-engineering,Updated 02/2025,['Discover how data engineers lay the groundwork that makes data science possible. No coding involved!'],Audit SI
419,76,DataCamp,Pivot Tables in Google Sheets,from 92 reviews,4.8,https://www.datacamp.com/courses/pivot-tables-in-google-sheets,Updated 09/2024,['Learn how to create pivot tables and quickly organize thousands of data points with just a few clicks.'],Audit SI
420,77,DataCamp,Machine Learning for Time Series Data in Python,from 68 reviews,4.7,https://www.datacamp.com/courses/machine-learning-for-time-series-data-in-python,Updated 10/2022,['This course focuses on feature engineering and machine learning for time series data.'],Audit SI
421,78,DataCamp,Introduction to SQL Server,from 144 reviews,4.8,https://www.datacamp.com/courses/introduction-to-sql-server,Updated 03/2025,['Learn to use SQL Server to perform common data manipulation tasks and master common data manipulation tasks using this database system.'],Audit SI
422,79,DataCamp,Introduction to PySpark,from 853 reviews,4.8,https://www.datacamp.com/courses/introduction-to-pyspark,Updated 03/2025,"['Master PySpark to handle big data with ease—learn to process, query, and optimize massive datasets for powerful analytics!']",Audit SI
423,80,DataCamp,Introduction to Docker,from 931 reviews,4.7,https://www.datacamp.com/courses/introduction-to-docker,Updated 01/2025,"['Gain an introduction to Docker and discover its importance in the data professional’s toolkit. Learn about Docker containers, images, and more.']",Audit SI
424,81,DataCamp,Data Manipulation in SQL,"from 1,029 reviews",4.8,https://www.datacamp.com/courses/data-manipulation-in-sql,Updated 05/2025,['Master the complex SQL queries necessary to answer a wide variety of data science questions and prepare robust data sets for analysis in PostgreSQL.'],Audit SI
425,82,DataCamp,Intermediate Java,from 194 reviews,4.8,https://www.datacamp.com/courses/intermediate-java,Updated 05/2025,"['Learn to write cleaner, smarter Java code with methods, control flow, and loops.']",Audit SI
426,83,DataCamp,Feature Engineering with PySpark,from 137 reviews,4.7,https://www.datacamp.com/courses/feature-engineering-with-pyspark,Updated 03/2025,['Learn the gritty details that data scientists are spending 70-80% of their time on; data wrangling and feature engineering.'],Audit SI
427,84,DataCamp,Introduction to Python for Finance,from 154 reviews,4.8,https://www.datacamp.com/courses/introduction-to-python-for-finance,Updated 09/2024,"['Build Python skills to elevate your finance career. Learn how to work with lists, arrays and data visualizations to master financial analyses.']",Audit SI
428,85,DataCamp,Analyzing Data in Tableau,from 749 reviews,4.8,https://www.datacamp.com/courses/analyzing-data-in-tableau,Updated 10/2024,['Take your Tableau skills up a notch with advanced analytics and visualizations.'],Audit SI
429,86,DataCamp,Foundations of Probability in Python,from 78 reviews,4.7,https://www.datacamp.com/courses/foundations-of-probability-in-python,Updated 08/2024,"['Learn fundamental probability concepts like random variables, mean and variance, probability distributions, and conditional probabilities.']",Audit SI
430,87,DataCamp,DAX Functions in Power BI,"from 1,666 reviews",4.8,https://www.datacamp.com/courses/dax-functions-in-power-bi,Updated 05/2025,['Data Analysis Expressions (DAX) allow you to take your Power BI skills to the next level by writing custom functions.'],Audit SI
431,88,DataCamp,Introduction to ChatGPT,"from 2,384 reviews",4.8,https://www.datacamp.com/courses/introduction-to-chatgpt,Updated 07/2025,"['Unlock the power of ChatGPT with better prompts, accurate responses, and safe AI use. Improve efficiency and get the most from AI conversations!']",Audit SI
432,89,DataCamp,Exploratory Data Analysis in SQL,"from 1,801 reviews",4.7,https://www.datacamp.com/courses/exploratory-data-analysis-in-sql,Updated 07/2024,"[""Learn how to explore what's available in a database: the tables, relationships between them, and data stored in them.""]",Audit SI
433,90,DataCamp,Introduction to Importing Data in R,from 154 reviews,4.8,https://www.datacamp.com/courses/introduction-to-importing-data-in-r,Updated 09/2024,"['In this course, you will learn to read CSV, XLS, and text files in R using tools like readxl and data.table.']",Audit SI
434,91,DataCamp,Prompt Engineering with the OpenAI API,from 945 reviews,4.7,https://www.datacamp.com/courses/chatgpt-prompt-engineering-for-developers,Updated 06/2025,['Dive deep into the principles and best practices of prompt engineering to leverage powerful language models like ChatGPT to solve real-world problems.'],Audit SI
435,92,DataCamp,Introduction to dbt,from 851 reviews,4.7,https://www.datacamp.com/courses/introduction-to-dbt,Updated 06/2025,"['This course introduces dbt for data modeling, transformations, testing, and building documentation.']",Audit SI
436,93,DataCamp,Introduction to Kubernetes,from 516 reviews,4.7,https://www.datacamp.com/courses/introduction-to-kubernetes,Updated 02/2025,"['In this course, you will learn the fundamentals of Kubernetes and deploy and orchestrate containers using Manifests and kubectl instructions.']",Audit SI
437,94,DataCamp,Data Visualization in Excel,"from 1,608 reviews",4.8,https://www.datacamp.com/courses/data-visualization-in-excel,Updated 08/2024,"['Learn how to create a range of visualizations in Excel for different data layouts, ensuring you incorporate best practices to help you build dashboards.']",Audit SI
438,95,DataCamp,Exploratory Data Analysis in Python,"from 2,920 reviews",4.8,https://www.datacamp.com/courses/exploratory-data-analysis-in-python,Updated 06/2025,"['Learn how to explore, visualize, and extract insights from data using exploratory data analysis (EDA) in Python.']",Audit SI
439,96,DataCamp,Exploratory Data Analysis in Power BI,"from 1,331 reviews",4.8,https://www.datacamp.com/courses/exploratory-data-analysis-in-power-bi,Updated 10/2024,['Learn how to build impactful reports with Power BI’s Exploratory Data Analysis (EDA) that uncover insights faster and drive business value.'],Audit SI
440,97,DataCamp,Introduction to Statistics in R,from 796 reviews,4.7,https://www.datacamp.com/courses/introduction-to-statistics-in-r,Updated 11/2024,"['Grow your statistical skills and learn how to collect, analyze, and draw accurate conclusions from data.']",Audit SI
441,98,DataCamp,Introduction to the Tidyverse,from 475 reviews,4.8,https://www.datacamp.com/courses/introduction-to-the-tidyverse,Updated 07/2025,"['Get started on the path to exploring and visualizing your own data with the tidyverse, a powerful and popular collection of data science tools within R.']",Audit SI
